Date,CCTV_ID,First_Seen,Last_Seen,Brand,Color,Type
21-05-2026,CCTV01,16:54:10,16:54:14,Isuzu,Bronze Silver,Car
21-05-2026,CCTV01,16:54:10,16:55:03,Toyota,Bronze Silver,Car
21-05-2026,CCTV02,16:54:10,16:54:10,Hino,Bronze Silver,Truck
21-05-2026,CCTV02,16:54:10,16:54:10,Honda,White,Car
21-05-2026,CCTV02,16:54:10,16:54:10,Motorcycle,Bronze Silver,Car
21-05-2026,CCTV02,16:54:10,16:54:10,Motorcycle,Maroon,Car
21-05-2026,CCTV02,16:54:10,16:54:10,Motorcycle,Unknown,Motorcycle
21-05-2026,CCTV02,16:54:10,16:54:10,Toyota,Bronze Gray,Car
21-05-2026,CCTV02,16:54:10,16:54:21,Toyota,Bronze Silver,Car
21-05-2026,CCTV02,16:54:10,16:54:10,Toyota,Gray,Car
21-05-2026,CCTV03,16:54:10,16:54:10,Honda,Gray,Car
21-05-2026,CCTV03,16:54:10,16:55:03,Toyota,Bronze Silver,Car
21-05-2026,CCTV03,16:54:10,16:54:14,Toyota,Gray,Car
21-05-2026,CCTV04,16:54:10,16:54:14,Isuzu,Bronze Silver,Car
21-05-2026,CCTV04,16:54:10,16:55:03,Toyota,Bronze Silver,Car
21-05-2026,CCTV05,16:54:10,16:54:10,Honda,Bronze Silver,Car
21-05-2026,CCTV05,16:54:10,16:54:12,Honda,Gray,Car
21-05-2026,CCTV05,16:54:10,16:54:10,Toyota,Bronze Gray,Car
21-05-2026,CCTV05,16:54:10,16:54:21,Toyota,Bronze Silver,Car
21-05-2026,CCTV05,16:54:10,16:54:10,Toyota,Charcoal,Car
21-05-2026,CCTV02,16:54:12,16:54:12,BYD,Gray,Car
21-05-2026,CCTV02,16:54:14,16:54:14,Mazda,Bronze Silver,Car
21-05-2026,CCTV02,16:54:14,16:54:14,Motorcycle,Unknown,Motorcycle
21-05-2026,CCTV03,16:54:14,16:54:14,Toyota,White,Car
21-05-2026,CCTV05,16:54:14,16:54:14,Mazda,Bronze Silver,Car
21-05-2026,CCTV05,16:54:14,16:54:14,Motorcycle,Unknown,Motorcycle
21-05-2026,CCTV02,16:54:15,16:54:17,Toyota,Gray,Car
21-05-2026,CCTV03,16:54:15,16:54:17,Toyota,Charcoal,Car
21-05-2026,CCTV05,16:54:15,16:54:17,Toyota,Gray,Car
21-05-2026,CCTV02,16:54:17,16:54:17,Honda,Bronze Silver,Car
21-05-2026,CCTV03,16:54:17,16:54:23,Toyota,Gray,Car
21-05-2026,CCTV05,16:54:17,16:54:18,Honda,Bronze Silver,Car
21-05-2026,CCTV01,16:54:18,16:54:45,Isuzu,Bronze Silver,Car
21-05-2026,CCTV02,16:54:18,16:54:18,Honda,Gray,Car
21-05-2026,CCTV02,16:54:18,16:54:18,Motorcycle,Gray,Car
21-05-2026,CCTV04,16:54:18,16:54:34,Isuzu,Bronze Silver,Car
21-05-2026,CCTV02,16:54:20,16:54:20,Isuzu,Bronze Silver,Car
21-05-2026,CCTV03,16:54:20,16:54:20,Haval,Charcoal,Car
21-05-2026,CCTV03,16:54:20,16:54:20,Hino,Gray,Truck
21-05-2026,CCTV03,16:54:20,16:54:20,Honda,Bronze Silver,Car
21-05-2026,CCTV03,16:54:20,16:54:20,Mercedes-Benz,Gray,Car
21-05-2026,CCTV05,16:54:20,16:54:20,Isuzu,Bronze Silver,Car
21-05-2026,CCTV02,16:54:21,16:54:21,Toyota,Charcoal,Car
21-05-2026,CCTV03,16:54:21,16:54:23,Mitsubishi,Bronze Gray,Car
21-05-2026,CCTV05,16:54:21,16:54:21,Toyota,Charcoal,Car
21-05-2026,CCTV02,16:54:23,16:54:27,Motorcycle,Unknown,Motorcycle
21-05-2026,CCTV05,16:54:23,16:54:30,Motorcycle,Unknown,Motorcycle
21-05-2026,CCTV02,16:54:24,16:54:27,Honda,Bronze Silver,Car
21-05-2026,CCTV02,16:54:24,16:54:24,Toyota,Bronze Silver,Car
21-05-2026,CCTV03,16:54:24,16:54:24,Kia,Bronze Silver,Car
21-05-2026,CCTV05,16:54:24,16:54:39,Toyota,Bronze Silver,Car
21-05-2026,CCTV02,16:54:25,16:54:25,Hino,Charcoal,Truck
21-05-2026,CCTV02,16:54:25,16:54:25,Isuzu,Bronze Silver,Car
21-05-2026,CCTV02,16:54:25,16:54:25,Toyota,Charcoal,Car
21-05-2026,CCTV05,16:54:25,16:54:29,Toyota,Gray,Car
21-05-2026,CCTV02,16:54:27,16:54:27,Hino,Bronze Silver,Truck
21-05-2026,CCTV02,16:54:27,16:54:27,Mazda,Bronze Silver,Car
21-05-2026,CCTV02,16:54:27,16:54:29,Toyota,Bronze Silver,Car
21-05-2026,CCTV02,16:54:27,16:54:27,Toyota,Gray,Car
21-05-2026,CCTV03,16:54:27,16:54:27,Toyota,Charcoal,Car
21-05-2026,CCTV03,16:54:27,16:55:03,Toyota,Gray,Car
21-05-2026,CCTV05,16:54:27,16:54:27,Hino,Bronze Silver,Truck
21-05-2026,CCTV05,16:54:27,16:54:29,Honda,Bronze Silver,Car
21-05-2026,CCTV05,16:54:27,16:54:27,Mazda,Bronze Silver,Car
21-05-2026,CCTV02,16:54:29,16:54:29,Mazda,Gray,Car
21-05-2026,CCTV02,16:54:30,16:54:30,Toyota,Gray,Car
21-05-2026,CCTV02,16:54:32,16:54:39,Toyota,Bronze Silver,Car
21-05-2026,CCTV03,16:54:32,16:54:35,Toyota,Silver,Car
21-05-2026,CCTV02,16:54:34,16:54:34,Toyota,Gray,Car
21-05-2026,CCTV03,16:54:34,16:54:35,Motorcycle,Maroon,Car
21-05-2026,CCTV05,16:54:34,16:54:34,Toyota,Gray,Car
21-05-2026,CCTV02,16:54:35,16:54:35,Mazda,Gray,Car
21-05-2026,CCTV05,16:54:35,16:54:35,Mazda,Gray,Car
21-05-2026,CCTV02,16:54:37,16:54:37,Hino,Bronze Silver,Bus
21-05-2026,CCTV02,16:54:37,16:54:37,Hino,Gray,Car
21-05-2026,CCTV03,16:54:37,16:54:37,Toyota,Maroon,Car
21-05-2026,CCTV04,16:54:37,16:54:45,Isuzu,Bronze Silver,Car
21-05-2026,CCTV05,16:54:37,16:54:37,Hino,Bronze Silver,Bus
21-05-2026,CCTV05,16:54:37,16:54:39,Hino,Bronze Silver,Truck
21-05-2026,CCTV05,16:54:37,16:54:37,Hino,Gray,Car
21-05-2026,CCTV05,16:54:37,16:54:37,Hino,Gray,Truck
21-05-2026,CCTV05,16:54:37,16:54:37,Toyota,Gray,Car
21-05-2026,CCTV02,16:54:39,16:54:39,Hino,Bronze Silver,Truck
21-05-2026,CCTV03,16:54:39,16:54:41,Motorcycle,Unknown,Motorcycle
21-05-2026,CCTV02,16:54:41,16:54:42,Honda,Bronze Silver,Car
21-05-2026,CCTV02,16:54:41,16:54:41,Nissan,Gray,Car
